Top Items Removed:

	#	-	Item	-	Rank	-	Nodes Removed	-	Clustering Coefficient

	1.	273	-	57	-	1	-	0.427344913619
	2.	232	-	55	-	2	-	0.427506912469
	3.	292	-	54	-	1	-	0.407824411371
	4.	250	-	51	-	6	-	0.38126753039
	5.	239	-	48	-	2	-	0.37883322219
	6.	240	-	46	-	4	-	0.407986007016
	7.	265	-	45	-	1	-	0.407427743518
	8.	264	-	43	-	1	-	0.403233789071
	9.	244	-	42	-	1	-	0.414757518851
	10.	241	-	40	-	1	-	0.357882055052
	11.	206	-	38	-	2	-	0.387322807911
	12.	213	-	33	-	4	-	0.425960210003
	13.	277	-	32	-	1	-	0.437064746847
	14.	286	-	30	-	4	-	0.422917955061
	15.	269	-	23	-	1	-	0.411281807623
	16.	287	-	23	-	3	-	0.443751424015
	17.	225	-	20	-	1	-	0.425632775633
	18.	233	-	20	-	1	-	0.376521164021
	19.	255	-	18	-	1	-	0.322857142857
	20.	228	-	17	-	1	-	0.361764705882
	21.	254	-	14	-	1	-	0.368686868687
	22.	235	-	13	-	5	-	0.380952380952
	23.	271	-	11	-	1	-	0.37037037037
	24.	243	-	8	-	1	-	0.333333333333
	25.	280	-	6	-	1	-	0.28
	26.	207	-	3	-	4	-	0.222222222222
	27.	215	-	3	-	4	-	0.274509803922
	28.	229	-	3	-	4	-	0.179487179487
	29.	274	-	3	-	4	-	0.0
	30.	261	-	2	-	3	-	0.0
	31.	289	-	2	-	3	-	0.0
	32.	299	-	2	-	3	-	0.0

Clusters:

	273
	232
	295
	292
	250
	217, 218, 219, 220, 221
	239
	275
	240
	297
	238
	224
	265
	264
	244
	241
	206
	205
	213
	212
	283, 284
	277
	286
	279
	291
	288
	269
	287
	267, 296
	225
	233
	255
	228
	254
	235
	236, 237
	251, 252
	271
	243
	280
	207
	245
	226, 227
	215
	249
	234, 281
	229
	230, 231
	200
	274
	263
	270, 272
	261
	260
	246
	289
	290
	242
	299
	293
	203

DB Index:				0.696955503513
Average Silhouette Coefficient:	0.732876712329
