Top Items Removed:

	#	-	Item	-	Rank	-	Nodes Removed	-	Clustering Coefficient

	1.	218 <-> 250	-	34944	-	0	-	0.452024685405
	2.	200 <-> 239	-	34277	-	0	-	0.456051252445
	3.	239 <-> 254	-	31236	-	0	-	0.460202352487
	4.	244 <-> 277	-	26180	-	0	-	0.460138109272
	5.	230 <-> 264	-	25296	-	0	-	0.461352306034
	6.	235 <-> 265	-	23250	-	0	-	0.462363395401
	7.	265 <-> 290	-	21692	-	0	-	0.463940661362
	8.	228 <-> 250	-	22200	-	0	-	0.46567761185
	9.	239 <-> 264	-	20868	-	0	-	0.464155541835
	10.	206 <-> 236	-	21320	-	0	-	0.466349113327
	11.	232 <-> 236	-	21528	-	0	-	0.466147662884
	12.	213 <-> 284	-	19795	-	0	-	0.462549054491
	13.	284 <-> 292	-	25400	-	2	-	0.476023379228
	14.	205 <-> 250	-	19502	-	0	-	0.478278412697
	15.	232 <-> 250	-	21476	-	0	-	0.479685877091
	16.	273 <-> 280	-	19140	-	0	-	0.480885472324
	17.	205 <-> 273	-	18759	-	0	-	0.483272013795
	18.	244 <-> 264	-	18490	-	0	-	0.485060522625
	19.	273 <-> 281	-	17850	-	0	-	0.487365362753
	20.	269 <-> 277	-	16434	-	0	-	0.48774279072
	21.	215 <-> 273	-	15707	-	0	-	0.488245585817
	22.	232 <-> 273	-	19305	-	0	-	0.488506047531
	23.	277 <-> 296	-	19964	-	0	-	0.492731399644
	24.	264 <-> 277	-	17654	-	0	-	0.493620064969
	25.	230 <-> 265	-	16530	-	0	-	0.495204786976
	26.	232 <-> 260	-	15150	-	0	-	0.495596883143
	27.	215 <-> 244	-	14787	-	0	-	0.495106762935
	28.	228 <-> 244	-	17766	-	0	-	0.495767995286
	29.	232 <-> 244	-	17298	-	0	-	0.494483364424
	30.	240 <-> 244	-	16942	-	0	-	0.494875460591
	31.	232 <-> 287	-	16198	-	0	-	0.49002303602
	32.	232 <-> 240	-	14317	-	0	-	0.48551109133
	33.	287 <-> 296	-	15834	-	0	-	0.486450058466
	34.	224 <-> 240	-	14952	-	0	-	0.49141549086
