Top Items Removed:

	#	-	Item	-	Rank	-	Nodes Removed	-	Clustering Coefficient

	1.	520	-	86	-	1	-	0.427663194363
	2.	516	-	85	-	1	-	0.41291812358
	3.	530	-	84	-	2	-	0.408776020066
	4.	566	-	83	-	1	-	0.395041532446
	5.	588	-	82	-	1	-	0.373317591808
	6.	539	-	81	-	2	-	0.359671940699
	7.	528	-	80	-	1	-	0.339737602138
	8.	556	-	79	-	2	-	0.345432284284
	9.	581	-	78	-	2	-	0.351910020996
	10.	509	-	77	-	1	-	0.353303922819
	11.	519	-	75	-	1	-	0.35899492288
	12.	504	-	74	-	1	-	0.353021247444
	13.	554	-	72	-	2	-	0.3455128305
	14.	545	-	70	-	2	-	0.334392505213
	15.	543	-	69	-	1	-	0.332235127352
	16.	550	-	67	-	1	-	0.328644063828
	17.	592	-	66	-	1	-	0.336951755846
	18.	523	-	63	-	1	-	0.328384329855
	19.	575	-	62	-	1	-	0.328848396657
	20.	526	-	59	-	1	-	0.323151154401
	21.	599	-	57	-	2	-	0.32753968254
	22.	565	-	55	-	1	-	0.329709099274
	23.	576	-	54	-	1	-	0.336051693405
	24.	559	-	52	-	1	-	0.332657061015
	25.	564	-	51	-	2	-	0.344431124431
	26.	579	-	50	-	1	-	0.371167027417
	27.	582	-	48	-	1	-	0.358250303488
	28.	500	-	47	-	1	-	0.366447889029
	29.	535	-	46	-	1	-	0.353889007168
	30.	585	-	44	-	1	-	0.350952380952
	31.	562	-	43	-	1	-	0.337651331719
	32.	577	-	42	-	2	-	0.351002506266
	33.	508	-	39	-	1	-	0.341241496599
	34.	591	-	38	-	1	-	0.343463203463
	35.	510	-	37	-	1	-	0.303703703704
	36.	549	-	32	-	1	-	0.288050314465
	37.	551	-	34	-	10	-	0.262015503876
	38.	560	-	27	-	1	-	0.254761904762
	39.	593	-	24	-	5	-	0.268468468468
	40.	573	-	20	-	2	-	0.28380952381
	41.	513	-	17	-	7	-	0.253571428571
	42.	524	-	11	-	8	-	0.25
	43.	587	-	9	-	9	-	0.19696969697
	44.	527	-	4	-	6	-	0.0
	45.	572	-	3	-	5	-	0.0

Clusters:

	520
	516
	530
	578
	566
	588
	539
	503
	528
	556
	555
	581
	548
	509
	519
	504
	554
	529
	545
	571
	543
	550
	592
	523
	575
	526
	599
	590
	565
	576
	559
	564
	567
	579
	582
	500
	535
	585
	562
	577
	532
	508
	591
	510
	549
	551
	552, 553
	502
	512, 518, 569, 570, 589, 595
	560
	593
	505, 557, 558, 568
	573
	574
	513
	533, 534, 544, 546, 547, 596
	524
	597, 598
	501, 511, 542
	594
	583
	587
	525, 561, 563, 584, 586
	506, 507, 538
	527
	580
	531, 537
	521, 522
	572
	517, 540
	515, 536

DB Index:				1.78425877826
Average Silhouette Coefficient:	0.527166342728
